national_substance_name,national_substance_id,note,generic_substance_name,cas_number,generic_substance_id
Barium compounds (except for barium sulfate (CAS No. 7727-43-7)),N040,TRI,Barium & compounds,,NA-03
Beryllium compounds,N050,TRI,Beryllium & compounds,,NA-04
Cadmium compounds,N078,TRI,Cadmium & compounds,,NA-06
Certain glycol ethers,N230,TRI,Certain glycol ethers,,NA-07
Chlorophenols,N084,TRI,Chlorophenols,,NA-30
Chromium compounds (except for chromite ore mined in the Transvaal Region),N090,TRI,Chromium & compounds,,NA-08
Cobalt compounds,N096,TRI,Cobalt & compounds,,NA-09
Copper compounds,N100,TRI,Copper & compounds,,NA-10
Cyanide compounds,N106,TRI,Cyanide & compounds,,NA-11
Diisocyanates,N120,TRI,Diisocyanates,,NA-22
Dioxin and dioxin-like compounds,N150,TRI,Dioxin & dioxin-like compounds,,NA-23
"Ethylenebisdithiocarbamic acid, salts and esters",N171,TRI,"Ethylenebisdithiocarbamic acid, salts and esters",,NA-34
Hexabromocyclododecane,N270,TRI,Hexabromocyclododecane (HBCD),25637-99-4,
"Isopropyl alcohol (only persons who manufacture by the strong acid process are subject, no supplier notification)",67630,TRI,Isopropyl alcohol,67-63-0,
Lead compounds,N420,TRI,Lead & compounds,,NA-12
Manganese compounds,N450,TRI,Manganese & compounds,,NA-13
Mercury compounds,N458,TRI,Mercury & compounds,,NA-14
Nickel compounds,N495,TRI,Nickel & compounds,,NA-15
Nicotine and salts,N503,TRI,Nicotine & salts,,NA-20
Nitrate compounds (water dissociable; reportable only when in aqueous solution),N511,TRI,Nitrate & compounds,,NA-21
Nonylphenol,N530,TRI,Nonylphenol,,NA-25
Phosphorus (yellow or white),12185103,TRI,Phosphorus (yellow or white only),7723-14-0,
Polybrominated biphenyls,N575,TRI,Polybrominated biphenyls (PBBs),59536-65-1,
Polychlorinated alkanes (C10-C13),N583,TRI,Polychlorinated alkanes (C10-C13),,NA-35
Polychlorinated biphenyls,1336363,TRI,Polychlorinated biphenyls (PCBs),1336-36-3,
Polycyclic aromatic compounds,N590,TRI,Polycyclic aromatic hydrocarbon (PAHs),130498-29-2,
Selenium compounds,N725,TRI,Selenium & compounds,,NA-29
Silver compounds,N740,TRI,Silver & compounds,,NA-24
Strychnine and salts,N746,TRI,Strychnine & salts,,NA-28
Thallium compounds,N760,TRI,Thallium & compounds,,NA-19
Vanadium compounds,N770,TRI,Vanadium & compounds,,NA-16
Warfarin and salts,N874,TRI,Warfarin & salts,,NA-17
Zinc compounds,N982,TRI,Zinc & compounds,,NA-18
