feature,min,max
AUTOCORR2D_7,0.0,5.5
AUTOCORR2D_114,0.0,2.33
fr_C_O_noCOO,0.0,3.63
AUTOCORR2D_8,0.0,2.5
AUTOCORR2D_51,0.0,2.25
fr_aldehyde,0.0,3.43
Chi0,0.0,4.0
AUTOCORR2D_90,0.0,4.72
VSA_EState8,0.0,4.84
Chi4v,0.0,4.0
AUTOCORR2D_124,0.0,3.78
AUTOCORR2D_10,0.0,2.6
fr_amidine,0.0,5.03
fr_guanido,0.0,4.75
fr_unbrch_alkane,0.0,4.67
AUTOCORR2D_189,0.0,4.62
AUTOCORR2D_188,0.0,4.6
fr_nitro_arom,0.0,4.36
fr_nitroso,0.0,3.93
AUTOCORR2D_17,0.0,4.34
fr_azide,0.0,4.46
fr_hdrzine,0.0,4.37
AUTOCORR2D_96,0.0,4.29
fr_Ndealkylation2,0.0,6.29
AUTOCORR2D_159,0.0,4.26
AUTOCORR2D_89,0.0,4.11
AUTOCORR2D_46,0.0,3.91
AUTOCORR2D_120,0.0,4.19
SMR_VSA4,0.0,4.66
AUTOCORR2D_135,0.0,4.79
fr_methoxy,0.0,4.7
FpDensityMorgan1,0.0,4.62
NumAromaticRings,0.0,4.58
SlogP_VSA11,0.0,4.54
AUTOCORR2D_64,0.0,6.2
PEOE_VSA7,0.0,4.31
Chi3v,0.0,5.42
PEOE_VSA4,0.0,6.21
AUTOCORR2D_119,0.0,6.08
AUTOCORR2D_25,0.0,6.34
AUTOCORR2D_86,0.0,6.31
AUTOCORR2D_157,0.0,6.91
HeavyAtomCount,0.0,6.11
AUTOCORR2D_35,0.0,5.5
epsi,0.0,162.55
AUTOCORR2D_145,0.0,5.66
FpDensityMorgan3,0.0,257.88
AUTOCORR2D_5,0.0,347.7
AUTOCORR2D_142,0.0,277.71
ExactMolWt,0.0,209.55
AUTOCORR2D_22,0.0,230.89
fr_lactam,0.0,231.19
BCUT2D_MWLOW,0.0,149.95
fr_phos_acid,0.0,2.89
PEOE_VSA11,0.0,1.77
AUTOCORR2D_100,0.0,1.23
SlogP_VSA6,0.0,5.72
fr_sulfone,0.0,1.04
SlogP_VSA5,0.0,1.0
fr_para_hydroxylation,0.0,0.97
AUTOCORR2D_59,0.0,1.01
AUTOCORR2D_186,0.0,0.77
AUTOCORR2D_136,0.0,0.9
fr_isocyan,0.0,1.25
AUTOCORR2D_172,0.0,1.48
NumHeteroatoms,0.0,1.37
AUTOCORR2D_68,0.0,1.32
AUTOCORR2D_54,0.0,6.14
SlogP_VSA2,0.0,1.28
fr_quatN,0.0,1.33
BertzCT,0.0,1.01
AUTOCORR2D_108,0.0,54.45
fr_azo,0.0,89.94
AUTOCORR2D_40,0.0,40.24
Chi1,0.0,29.87
AUTOCORR2D_11,0.0,36.25
MaxAbsEStateIndex,0.0,29.41
fr_N_O,0.0,31.93
AUTOCORR2D_178,0.0,6.01
EState_VSA1,0.0,17.27
AUTOCORR2D_153,0.0,0.68
AUTOCORR2D_107,0.0,1.15
fr_Nhpyrrole,0.0,0.91
AUTOCORR2D_148,0.0,0.97
AUTOCORR2D_36,0.0,1.07
BCUT2D_MRLOW,0.0,0.85
EState_VSA7,0.0,0.55
MolWt,0.0,0.41
fr_oxime,0.0,105.14
MolLogP,0.0,4.03
PEOE_VSA6,0.0,197.47
NumValenceElectrons,0.0,123.32
AUTOCORR2D_182,0.0,202.84
AUTOCORR2D_62,0.0,256.12
AUTOCORR2D_39,0.0,376.84
NumHAcceptors,0.0,156.94
fr_term_acetylene,0.0,82.42
AUTOCORR2D_169,-1.56,1.0
AUTOCORR2D_111,-1.0,1.0
AUTOCORR2D_192,-1.31,1.08
Chi1v,-1.0,2.84
fr_prisulfonamd,-2.64,0.19
fr_Al_OH,-3.0,2.79
fr_piperzine,-3.0,0.86
SMR_VSA7,0.0,14.12
Ipc,-0.8,7.59
fr_Al_COO,1.01,126.91
fr_nitro,1.01,35.45
AUTOCORR2D_67,0.0,4.71
AUTOCORR2D_109,0.0,1374.42
VSA_EState6,0.0,38.32
AUTOCORR2D_125,0.0,32.59
SMR_VSA2,0.0,32.59
AUTOCORR2D_181,0.0,25.59
AUTOCORR2D_143,0.0,20.84
AUTOCORR2D_127,0.0,20.84
AUTOCORR2D_73,0.0,18.74
AUTOCORR2D_20,0.0,18.74
AUTOCORR2D_63,0.0,15.86
AUTOCORR2D_69,0.0,15.86
AUTOCORR2D_12,0.0,12.78
fr_urea,0.0,13.1
AUTOCORR2D_175,0.0,79.41
AUTOCORR2D_55,0.0,33.4
AUTOCORR2D_137,0.0,0.0
fr_ketone,0.0,101.1
AUTOCORR2D_72,0.0,50.73
AUTOCORR2D_6,0.0,63.36
AUTOCORR2D_163,0.0,64.21
AUTOCORR2D_4,0.0,60.66
VSA_EState7,0.0,60.66
AUTOCORR2D_184,0.0,159.3
AUTOCORR2D_162,0.0,92.81
AUTOCORR2D_23,2.02,949.18
AUTOCORR2D_146,0.3,2.0
AUTOCORR2D_165,0.42,2.6
fr_benzodiazepine,0.5,3.4
AUTOCORR2D_116,0.0,1.0
AUTOCORR2D_82,-3.28,3.04
AUTOCORR2D_57,0.0,54.0
AUTOCORR2D_110,0.0,959.17
MinAbsPartialCharge,0.0,980956700000.0
AUTOCORR2D_60,0.0,97.25
AUTOCORR2D_144,-27.04,3398.8
AUTOCORR2D_91,-104.04,9507.96
AUTOCORR2D_92,2.85,318.53
AUTOCORR2D_19,0.0,13.22
AUTOCORR2D_134,0.0,2.6
SlogP_VSA1,0.0,13.22
BCUT2D_LOGPHI,-1.0,2.6
fr_ether,0.0,4.67
PEOE_VSA14,0.0,2.0
AUTOCORR2D_183,-5.17,4.0
AUTOCORR2D_180,-1.29,2.0
MinPartialCharge,-12.58,11.1
Chi1n,0.0,191.22
BCUT2D_LOGPLOW,2.02,959.17
AUTOCORR2D_74,0.0,7.333333333333333
AUTOCORR2D_177,0.0,13.0
AUTOCORR2D_94,0.0,4.0
AUTOCORR2D_2,0.0,4.0
AUTOCORR2D_52,0.0,8.0
PEOE_VSA2,0.0,6.0
fr_halogen,0.0,2.0
fr_alkyl_halide,0.0,6.0
NumAromaticCarbocycles,0.0,13.0
EState_VSA5,0.0,6.0
AUTOCORR2D_113,0.0,20.33333333333333
AUTOCORR2D_156,0.0,4.4
fr_Ar_COO,0.0,17.0
AUTOCORR2D_16,0.0,4.0
fr_bicyclic,0.0,3.0
VSA_EState9,0.0,7.0
AUTOCORR2D_130,2.0,306.0
HallKierAlpha,0.0,58.69
LabuteASA,0.0,36.92
VSA_EState2,0.0,23.21
MolMR,0.0,17.18
PEOE_VSA1,0.0,15.26
MinEStateIndex,0.0,121.91
fr_phos_ester,0.0,20.23
AUTOCORR2D_61,0.0,27.71
fr_epoxide,0.0,14.95
fr_Ar_N,0.0,69.61
fr_COO2,0.0,92.81
SMR_VSA1,0.0,159.3
PEOE_VSA13,0.0,48.88
VSA_EState3,0.0,48.33
fr_imidazole,0.0,8.0
fr_Ar_OH,0.0,91.39
AUTOCORR2D_75,0.0,159.3
AUTOCORR2D_133,0.0,10.52
BCUT2D_CHGLO,0.0,24.99
AUTOCORR2D_126,0.0,34.5
SMR_VSA3,0.0,197.18
VSA_EState5,0.0,34.09
AUTOCORR2D_56,0.0,84.93
AUTOCORR2D_50,0.0,0.0
AUTOCORR2D_9,0.0,22.63
AUTOCORR2D_115,0.0,59.11
AUTOCORR2D_131,0.0,30.23
AUTOCORR2D_139,0.0,17.25
Chi2n,0.0,159.3
MaxPartialCharge,0.0,132.3
AUTOCORR2D_98,0.0,37.95
NumSaturatedRings,0.0,53.92
EState_VSA10,0.0,111.67
EState_VSA2,0.0,84.93
fr_benzene,0.0,30.76
AUTOCORR2D_71,0.0,54.57
fr_nitrile,0.0,0.0
AUTOCORR2D_32,0.0,264.77
AUTOCORR2D_14,-3.7,43.54
fr_thiocyan,-4.78,51.01
NumRotatableBonds,-3.56,71.65
HeavyAtomMolWt,-4.23,54.98
AUTOCORR2D_103,-4.53,15.37
AUTOCORR2D_97,-3.78,8.0
fr_alkyl_carbamate,-0.43,30.79
AUTOCORR2D_1,-5.22,14.56
NumSaturatedCarbocycles,-1.8,14.88
PEOE_VSA8,-13.79,10.73
fr_Ar_NH,0.0,3.0
fr_Imine,0.0,5.0
fr_C_O,0.0,5.0
AUTOCORR2D_65,0.0,2.0
fr_barbitur,0.0,1.0
SlogP_VSA12,0.0,4.0
AUTOCORR2D_112,0.0,1.0
BCUT2D_MWHI,0.0,3.0
AUTOCORR2D_173,0.0,3.0
AUTOCORR2D_117,0.0,3.0
Chi0v,0.0,3.0
AUTOCORR2D_53,0.0,2.0
AUTOCORR2D_42,0.0,2.0
AUTOCORR2D_138,0.0,0.0
AUTOCORR2D_151,0.0,2.0
AUTOCORR2D_47,0.0,5.0
SlogP_VSA7,0.0,2.0
AUTOCORR2D_167,0.0,2.0
Kappa3,0.0,0.0
AUTOCORR2D_122,0.0,0.0
fr_aryl_methyl,0.0,1.0
EState_VSA6,0.0,1.0
fr_furan,0.0,1.0
SlogP_VSA4,0.0,2.0
AUTOCORR2D_187,0.0,1.0
AUTOCORR2D_166,0.0,6.0
AUTOCORR2D_38,0.0,4.0
TPSA,0.0,2.0
AUTOCORR2D_79,0.0,0.0
AUTOCORR2D_33,0.0,2.0
PEOE_VSA9,0.0,3.0
AUTOCORR2D_121,0.0,0.0
NumSaturatedHeterocycles,0.0,0.0
fr_thiophene,0.0,0.0
fr_Ndealkylation1,0.0,6.0
fr_lactone,0.0,0.0
AUTOCORR2D_66,0.0,6.0
Kappa1,0.0,0.0
AUTOCORR2D_3,0.0,0.0
PEOE_VSA10,0.0,2.0
AUTOCORR2D_70,0.0,2.0
AUTOCORR2D_31,0.0,7.0
MinAbsEStateIndex,0.0,1.0
NumAromaticHeterocycles,0.0,0.0
SlogP_VSA9,0.0,10.0
PEOE_VSA12,0.0,1.0
NOCount,0.0,0.0
NumAliphaticCarbocycles,0.0,1.0
AUTOCORR2D_170,0.0,1.0
AUTOCORR2D_160,0.0,2.0
fr_hdrzone,0.0,1.0
Kappa2,0.0,1.1666666666666667
AUTOCORR2D_190,0.0,1.1666666666666667
AUTOCORR2D_140,0.0,0.0
AUTOCORR2D_76,0.0,2.0
AUTOCORR2D_29,0.0,2.0
MaxEStateIndex,0.0,0.0
AUTOCORR2D_168,0.0,2.0
AUTOCORR2D_171,0.0,2.0
AUTOCORR2D_84,0.0,2.0
AUTOCORR2D_152,0.0,1.0
fr_phenol,0.0,1.0
SMR_VSA8,0.0,0.0
Chi3n,0.0,0.0
SlogP_VSA8,0.0,2.0
AUTOCORR2D_95,0.0,3.0
AUTOCORR2D_87,0.0,3.0
SlogP_VSA3,0.0,1.0
fr_thiazole,0.0,1.0
AUTOCORR2D_99,0.0,1.0
RingCount,0.0,1.0
AUTOCORR2D_93,0.0,1.0
fr_amide,0.0,0.0
fr_sulfide,0.0,1.0
fr_piperdine,0.0,1.0
Chi2v,0.0,1.0
AUTOCORR2D_179,0.0,1.0
Chi4n,0.0,0.0
AUTOCORR2D_150,0.0,0.0
AUTOCORR2D_13,0.0,0.0
SMR_VSA9,0.0,0.0
VSA_EState10,0.0,0.0
VSA_EState1,0.0,0.0
fr_dihydropyridine,0.0,6.380952380952381
AUTOCORR2D_30,0.0,1.0
AUTOCORR2D_147,0.13,0.85
